Generated Sentence,About
"swimming sleeping, sleeping computer, mountain, computer sleeping, eating phone, computer",OTHER
"sleeping swimming dancing sleeping phone computer, sleeping, sky mountain",OTHER
"jumping, music book, dancing, phone eating, book, apple",OTHER
"pawn, pawn, pawn bishop, endgame, FIDE, middlegame, pawn checkmate, bishop",CHESS
"music, computer, sky music running, apple",OTHER
"FIDE stalemate stalemate, middlegame bishop stalemate bishop, endgame bishop",CHESS
"middlegame stalemate, castling knight, rook checkmate castling middlegame checkmate",CHESS
"king endgame castling, knight, rook Elo rating castling",CHESS
"castling middlegame, castling checkmate, bishop",CHESS
"sky, music phone river, phone, book swimming swimming",OTHER
"music sleeping sky dancing sky jumping dancing computer, river, book",OTHER
"Elo rating, knight FIDE rook Elo rating, stalemate checkmate checkmate, checkmate knight",CHESS
"sleeping music eating phone, jumping computer dancing dancing book",OTHER
"running jumping dancing, swimming, swimming phone, jumping",OTHER
"Elo rating, opening queen, opening, rook opening",CHESS
"knight, stalemate pawn rook, knight, middlegame king, stalemate, knight, Elo rating",CHESS
"opening, stalemate, middlegame, opening, middlegame knight FIDE rook rook",CHESS
"endgame, middlegame, rook checkmate middlegame checkmate rook",CHESS
"FIDE, queen opening, middlegame, queen",CHESS
"phone, running sky, mountain computer, mountain sleeping, running running, swimming",OTHER
"pawn, middlegame, pawn opening opening endgame king FIDE",CHESS
"queen knight castling, queen, stalemate, checkmate, stalemate, rook",CHESS
"endgame Elo rating, FIDE, checkmate, opening queen, checkmate",CHESS
"eating, eating sky, sky, sleeping",OTHER
"mountain apple, running apple, mountain, book",OTHER
"Elo rating, checkmate king, opening, FIDE, checkmate, king, endgame, pawn king",CHESS
"bishop, queen, castling, rook, opening",CHESS
"pawn, opening queen pawn opening, FIDE castling knight",CHESS
"river, phone, book apple computer apple river, computer",OTHER
"bishop checkmate, castling middlegame king castling endgame bishop",CHESS
"sleeping river swimming, swimming, running running, swimming, sleeping sky music",OTHER
"pawn Elo rating, rook pawn castling Elo rating checkmate, king, Elo rating",CHESS
"apple, music, swimming music, book, apple, running, swimming sky",OTHER
"running sleeping, running, river river, phone",OTHER
"swimming music, sleeping, swimming computer, sky river, jumping",OTHER
"running jumping eating, music, sky, apple, mountain, computer, apple, river",OTHER
"stalemate, FIDE, Elo rating, stalemate, opening stalemate pawn opening",CHESS
"mountain, river, running phone, eating, apple",OTHER
"stalemate bishop, king, middlegame, rook",CHESS
"phone sleeping sky, river river",OTHER
mountain music river phone book swimming,OTHER
"castling checkmate, FIDE castling king knight, checkmate opening",CHESS
"checkmate, pawn castling, FIDE castling",CHESS
"book, sleeping book, music jumping, swimming, book jumping",OTHER
"music dancing, river eating mountain eating, river",OTHER
"king, bishop rook, knight castling",CHESS
"phone music, jumping sky, sky phone swimming book",OTHER
"queen, stalemate Elo rating knight, endgame, bishop queen, Elo rating",CHESS
"Elo rating, queen, stalemate Elo rating endgame rook queen, FIDE, castling, bishop",CHESS
"running jumping, phone, phone, river, jumping dancing, music",OTHER
"queen, knight bishop, queen king knight",CHESS
"stalemate Elo rating middlegame bishop, checkmate, endgame checkmate",CHESS
"jumping music apple book, running",OTHER
"FIDE, queen Elo rating king queen king castling",CHESS
"dancing, mountain jumping music dancing apple, jumping, eating dancing",OTHER
"phone river, sky book phone, eating jumping, book sky",OTHER
"dancing sky apple sleeping, eating swimming, eating, phone",OTHER
"pawn, opening, opening, middlegame, opening Elo rating, bishop, middlegame rook",CHESS
"running, sleeping dancing, computer music book book mountain sky",OTHER
"FIDE king castling FIDE king, opening",CHESS
"jumping music sky dancing, book running, computer music book eating",OTHER
swimming swimming mountain jumping jumping,OTHER
"king FIDE, Elo rating, bishop, Elo rating, bishop knight stalemate castling FIDE",CHESS
"book computer mountain phone computer running, swimming jumping, swimming",OTHER
"mountain dancing, book, apple computer computer river",OTHER
"jumping, apple, apple, sky, swimming, jumping, sleeping, book apple, mountain",OTHER
"stalemate stalemate checkmate, bishop, bishop",CHESS
"dancing, jumping, swimming running phone, sleeping",OTHER
"king, FIDE stalemate FIDE, opening, endgame, checkmate FIDE",CHESS
"apple, mountain, mountain dancing, music, eating phone phone sleeping",OTHER
"sky eating, computer river, computer apple dancing",OTHER
"swimming, mountain sky jumping running sky, running",OTHER
"computer book running apple, sleeping music computer, apple",OTHER
"dancing book sky, book, apple mountain phone",OTHER
"computer, jumping phone phone, running, sleeping jumping, apple running computer",OTHER
"book, phone apple eating, dancing, river phone, apple",OTHER
"apple computer mountain, dancing, apple mountain, running, swimming",OTHER
"music, phone river, book, mountain music eating",OTHER
"stalemate Elo rating rook, rook, FIDE, king checkmate checkmate",CHESS
"river running sky running, sky, mountain",OTHER
"queen, Elo rating checkmate, endgame, FIDE, FIDE",CHESS
"endgame king opening, knight middlegame, FIDE, Elo rating, pawn",CHESS
"endgame, king bishop, Elo rating king, queen opening endgame knight queen",CHESS
"Elo rating bishop, castling, stalemate, knight middlegame middlegame stalemate",CHESS
"Elo rating, checkmate king castling, FIDE",CHESS
"phone, eating jumping eating music mountain, music, river",OTHER
"checkmate, rook, Elo rating, rook, king stalemate middlegame castling",CHESS
"running music, computer, mountain, book, sky sky, dancing, mountain eating",OTHER
"rook, king bishop checkmate, bishop checkmate knight",CHESS
"apple, running, running river, phone, phone, book, phone",OTHER
"Elo rating opening pawn, checkmate, pawn middlegame, pawn, opening, rook",CHESS
"pawn queen, middlegame bishop, bishop, opening, king",CHESS
"sky computer, computer, phone, eating dancing, sleeping, swimming sky",OTHER
"dancing, mountain, apple mountain, mountain, music",OTHER
"bishop, FIDE castling, Elo rating checkmate, castling, stalemate, FIDE, Elo rating, FIDE",CHESS
"bishop Elo rating, queen pawn, knight bishop, middlegame knight",CHESS
"castling middlegame, king king, stalemate, bishop, castling",CHESS
"queen middlegame pawn, stalemate, FIDE rook middlegame, Elo rating",CHESS
"Elo rating rook, knight endgame, stalemate",CHESS
"pawn, castling middlegame, knight checkmate, middlegame",CHESS
"rook, rook rook, middlegame stalemate, rook",CHESS
"king, knight king, stalemate checkmate, endgame, endgame, FIDE, knight, FIDE",CHESS
"castling bishop, FIDE endgame castling FIDE, bishop, stalemate, endgame",CHESS
"eating sky, mountain, swimming music running sleeping",OTHER
"sleeping river river swimming sleeping, music, river apple, mountain dancing",OTHER
"pawn, opening, endgame, king opening, opening, pawn bishop, queen, castling",CHESS
"sky running, book sleeping, computer",OTHER
"running, music, running, book computer, swimming, running computer swimming",OTHER
"Elo rating opening stalemate, stalemate rook king middlegame pawn checkmate",CHESS
"sleeping, swimming, sleeping, eating, mountain, book",OTHER
"sky river, river river jumping",OTHER
"computer, phone dancing book music phone, sky mountain",OTHER
"queen endgame Elo rating, king, king castling, queen checkmate, queen",CHESS
"river swimming book sky, computer, swimming, computer apple, swimming",OTHER
"eating apple, jumping dancing sky, jumping",OTHER
"dancing, river jumping apple jumping sleeping, sky eating, mountain",OTHER
"endgame, FIDE, rook, Elo rating queen endgame, stalemate, queen knight",CHESS
"opening, pawn stalemate rook, bishop middlegame",CHESS
"eating book, eating, phone, sky, river sleeping",OTHER
"king king rook, king checkmate stalemate",CHESS
"eating, apple phone river music jumping swimming apple, book, music",OTHER
"computer eating, swimming sleeping, music jumping, computer, running",OTHER
"pawn, endgame, stalemate endgame, middlegame, queen, knight pawn",CHESS
"book dancing, eating, computer river, book, sky, jumping",OTHER
"queen, opening stalemate king endgame",CHESS
"eating, eating jumping, jumping, swimming, apple music",OTHER
"castling, endgame pawn, rook, endgame queen",CHESS
"pawn, queen checkmate, Elo rating stalemate",CHESS
"phone book, river computer dancing, river, book",OTHER
"knight, castling, bishop bishop stalemate, queen rook, opening, queen, queen",CHESS
"endgame Elo rating, pawn queen, stalemate, stalemate castling, middlegame",CHESS
"music, apple book running, dancing running phone",OTHER
"middlegame, rook, knight king, endgame FIDE, middlegame, castling opening",CHESS
"dancing, swimming eating eating dancing dancing",OTHER
"eating, mountain, swimming, mountain, sleeping, sky, apple, sky",OTHER
"king middlegame castling, bishop, stalemate FIDE middlegame castling",CHESS
"rook, checkmate FIDE, stalemate, pawn rook, checkmate",CHESS
"queen queen, FIDE, Elo rating bishop rook, king, castling, FIDE",CHESS
"rook Elo rating, bishop stalemate, pawn king, middlegame, rook endgame, rook",CHESS
"rook, rook knight, pawn pawn queen FIDE Elo rating middlegame, checkmate",CHESS
"pawn rook pawn, endgame Elo rating FIDE endgame king",CHESS
"checkmate endgame, queen, rook, pawn, stalemate, Elo rating queen checkmate, FIDE",CHESS
"running, phone apple jumping, computer, music swimming river book phone",OTHER
"stalemate, Elo rating endgame, endgame queen, checkmate, castling castling, FIDE, knight",CHESS
"rook knight, bishop endgame checkmate",CHESS
"rook, checkmate, Elo rating, Elo rating bishop",CHESS
"castling queen bishop checkmate, bishop, opening, Elo rating FIDE, castling",CHESS
"jumping eating, book computer book, sleeping mountain sky jumping",OTHER
"queen king pawn, endgame, king king, bishop",CHESS
"computer sky, running dancing, jumping, dancing",OTHER
"swimming computer jumping dancing, mountain computer jumping phone",OTHER
"opening stalemate castling endgame, middlegame",CHESS
"king FIDE, bishop opening bishop, FIDE",CHESS
"knight rook, FIDE castling bishop FIDE",CHESS
"swimming, phone, apple, music phone book, jumping swimming",OTHER
"sky mountain, mountain, sky, music sky, running sky, swimming",OTHER
"pawn queen stalemate bishop castling, queen king",CHESS
"jumping, swimming swimming running, book, swimming",OTHER
"river, book, music mountain sky phone eating sleeping, apple, dancing",OTHER
"apple dancing, jumping, eating book computer phone eating, eating",OTHER
"computer, jumping river swimming, running, swimming book, phone",OTHER
"pawn, opening, FIDE, queen, stalemate, queen, checkmate king, endgame",CHESS
"middlegame opening castling, king, stalemate, endgame endgame, Elo rating, rook",CHESS
"running jumping, computer river, dancing jumping, river swimming, sky",OTHER
"Elo rating, Elo rating, bishop, castling checkmate, opening FIDE castling, opening, king",CHESS
"river, swimming phone, phone sky book music book, sleeping",OTHER
"stalemate queen, king, king stalemate Elo rating, Elo rating",CHESS
"endgame, knight, middlegame queen middlegame rook",CHESS
"knight castling, pawn, pawn, queen, castling queen stalemate, queen, king",CHESS
"castling, endgame, stalemate, king, FIDE castling Elo rating endgame rook",CHESS
"middlegame, stalemate, middlegame Elo rating, pawn, rook endgame",CHESS
"computer, swimming mountain running mountain, dancing swimming, sky",OTHER
"middlegame middlegame, rook checkmate knight, FIDE, Elo rating, checkmate",CHESS
"knight pawn, bishop, opening opening, endgame, king endgame checkmate",CHESS
"opening, Elo rating, rook, knight, opening",CHESS
"computer, jumping computer, sleeping, mountain, jumping book",OTHER
"endgame bishop pawn, FIDE queen",CHESS
"sleeping music apple, dancing, jumping, river",OTHER
"queen, checkmate Elo rating castling FIDE, FIDE, Elo rating stalemate",CHESS
"king Elo rating, rook middlegame, knight",CHESS
"queen, rook, castling pawn, FIDE, queen bishop, opening, FIDE Elo rating",CHESS
"knight rook, king bishop queen, castling king",CHESS
"castling king Elo rating, endgame stalemate checkmate, Elo rating opening",CHESS
"rook, Elo rating bishop, rook pawn FIDE",CHESS
"running apple sleeping sky, eating",OTHER
"phone, apple sky sky apple mountain, computer, phone computer",OTHER
"sky phone book, jumping, swimming apple",OTHER
"pawn, castling, opening Elo rating queen",CHESS
"pawn, castling FIDE, checkmate king knight, opening rook, rook queen",CHESS
"book dancing river dancing sleeping swimming, dancing, sleeping, phone",OTHER
"music, music apple music swimming",OTHER
"phone, swimming running apple, mountain sleeping sleeping, running swimming river",OTHER
"stalemate, Elo rating, rook, FIDE, middlegame pawn",CHESS
"king, queen queen, stalemate castling rook Elo rating, Elo rating",CHESS
"queen Elo rating, pawn, knight knight king, opening checkmate, checkmate",CHESS
"river apple, swimming apple swimming",OTHER
"pawn, king, bishop, opening, bishop, pawn, king",CHESS
"queen, stalemate, endgame, rook, FIDE checkmate, bishop opening, king, bishop",CHESS
"apple apple, river music music, running music",OTHER
"mountain, book computer dancing sky, music, phone",OTHER
"music computer dancing computer sky computer, jumping, swimming, mountain mountain",OTHER
"sky, book jumping dancing, river music mountain jumping phone, music",OTHER
"book, phone, swimming eating, swimming",OTHER
"bishop Elo rating, endgame, FIDE Elo rating, bishop rook king knight",CHESS
"queen, middlegame, bishop FIDE, pawn king",CHESS
"swimming, running, sky, dancing, sky mountain, sleeping, mountain, river running",OTHER
"opening, castling, queen middlegame checkmate castling, rook, castling FIDE stalemate",CHESS
"rook, endgame pawn, Elo rating stalemate, checkmate",CHESS
"opening, Elo rating castling endgame pawn, Elo rating, king queen opening",CHESS
"bishop endgame rook castling, rook, castling pawn",CHESS
"endgame, pawn, queen FIDE queen knight, pawn, castling, bishop",CHESS
"Elo rating, endgame bishop middlegame FIDE, checkmate, endgame, opening",CHESS
"jumping, swimming, jumping river, swimming running sky sleeping computer",OTHER
"king castling, checkmate rook bishop checkmate queen",CHESS
"music, sleeping, apple book music jumping, running, music computer mountain",OTHER
"pawn, checkmate, king, opening Elo rating stalemate castling middlegame, FIDE, FIDE",CHESS
"knight queen, Elo rating, rook, king",CHESS
"sky, apple, swimming, jumping, apple, dancing sky, dancing",OTHER
"checkmate FIDE, pawn rook queen stalemate",CHESS
"castling stalemate, FIDE, stalemate FIDE king",CHESS
"dancing book, dancing, book, music, computer",OTHER
"sky, phone, river, phone, book sleeping music book",OTHER
"checkmate checkmate, pawn, stalemate, middlegame, endgame",CHESS
"stalemate, Elo rating, endgame castling rook",CHESS
"bishop rook, Elo rating, FIDE, castling, rook, middlegame, FIDE",CHESS
"sky book, dancing, book, dancing sleeping, running book",OTHER
"checkmate, endgame, middlegame, opening king FIDE, queen",CHESS
"phone, running, jumping dancing sleeping mountain, apple swimming mountain",OTHER
"king castling queen rook, endgame queen, pawn pawn",CHESS
"endgame checkmate stalemate FIDE checkmate, bishop queen",CHESS
"king, middlegame, knight, castling, endgame checkmate",CHESS
"bishop, queen, checkmate bishop checkmate FIDE king",CHESS
"computer, jumping jumping running, sky, sky sleeping, music",OTHER
"opening, Elo rating castling, opening, stalemate, bishop pawn king",CHESS
"FIDE, pawn, rook queen, knight, knight",CHESS
"checkmate, Elo rating, FIDE, pawn, rook Elo rating pawn, FIDE",CHESS
"apple book sleeping, running, dancing, phone eating, computer",OTHER
"music running, apple running, river, dancing swimming, music river sleeping",OTHER
"swimming computer apple, eating, swimming book music jumping swimming, eating",OTHER
running sleeping music apple book book mountain,OTHER
"swimming mountain music, phone book",OTHER
"king FIDE, queen bishop, opening castling bishop",CHESS
"swimming, apple, eating river mountain, dancing, dancing, sky, jumping",OTHER
"running sky, phone apple phone",OTHER
"running jumping jumping, book phone, running computer, computer",OTHER
"knight bishop, pawn queen bishop knight, bishop stalemate pawn",CHESS
"stalemate, FIDE, stalemate, FIDE, knight king, king endgame knight",CHESS
"opening castling, queen, opening, endgame FIDE checkmate",CHESS
"checkmate checkmate king rook stalemate, FIDE, Elo rating bishop Elo rating FIDE",CHESS
"knight, queen opening bishop knight king",CHESS
"sky swimming, music sleeping, swimming, sky, swimming",OTHER
"stalemate FIDE checkmate FIDE, middlegame endgame king, Elo rating",CHESS
"swimming phone, sky, eating, apple sleeping",OTHER
"rook, pawn, opening stalemate checkmate Elo rating",CHESS
"eating music, dancing running, apple, sleeping, sky running",OTHER
"eating, phone, dancing, computer computer, book mountain, sleeping, swimming river",OTHER
"opening checkmate, Elo rating castling, king",CHESS
"opening middlegame bishop, middlegame stalemate checkmate",CHESS
"castling, FIDE, bishop, endgame Elo rating, queen king endgame, queen, pawn",CHESS
"knight stalemate, bishop endgame, opening rook",CHESS
"running, music, swimming river book, phone, apple, sleeping, phone",OTHER
"bishop middlegame, pawn, bishop FIDE, knight queen castling stalemate",CHESS
"sleeping, jumping sky, river river river, mountain",OTHER
"running eating mountain, mountain, swimming, apple jumping swimming",OTHER
"queen checkmate FIDE rook, opening",CHESS
"knight knight, queen middlegame, king",CHESS
"sky, sleeping, jumping apple, sleeping, apple, book",OTHER
"book mountain, running, music, book, jumping, music, phone, sky, music",OTHER
"bishop, knight, checkmate, bishop bishop, endgame, rook",CHESS
"endgame castling bishop queen Elo rating, bishop, rook",CHESS
"bishop, stalemate queen, Elo rating, endgame, castling knight, stalemate FIDE, endgame",CHESS
"running, eating apple dancing, dancing swimming running, sky",OTHER
"apple sky, phone mountain, sky sky",OTHER
"castling stalemate, queen, checkmate endgame, queen castling stalemate stalemate",CHESS
"checkmate castling, queen, checkmate king Elo rating, king, checkmate",CHESS
"river, dancing river, apple, apple",OTHER
"pawn knight, middlegame, bishop, queen, endgame",CHESS
"pawn bishop, FIDE king, FIDE, castling endgame",CHESS
"middlegame checkmate bishop, middlegame castling pawn",CHESS
"apple, sleeping, sky, book, running",OTHER
"apple, book computer dancing music, swimming, computer apple, book",OTHER
"eating eating, eating jumping, sky phone, sky swimming swimming music",OTHER
"phone eating running, running jumping apple swimming",OTHER
"king checkmate, knight FIDE queen, checkmate bishop",CHESS
"running, sky, eating mountain jumping sleeping, music, computer",OTHER
"checkmate endgame, stalemate FIDE rook, stalemate rook",CHESS
"queen, FIDE, checkmate, opening, bishop Elo rating castling, stalemate rook castling",CHESS
"dancing dancing mountain mountain swimming computer sleeping, swimming book, running",OTHER
"checkmate endgame, castling, bishop knight",CHESS
"bishop queen king, middlegame, endgame, endgame",CHESS
"book, dancing, sleeping, eating river mountain, book",OTHER
"computer, running, running jumping, river, computer sleeping",OTHER
"Elo rating, opening castling knight, FIDE, queen knight FIDE, middlegame",CHESS
"sleeping, mountain, sky apple sleeping eating, sky eating eating",OTHER
"pawn endgame Elo rating, castling, Elo rating, rook king middlegame bishop king",CHESS
"FIDE bishop endgame pawn knight castling bishop, stalemate",CHESS
"stalemate endgame stalemate FIDE, castling",CHESS
"computer mountain mountain mountain, music, jumping",OTHER
"stalemate middlegame endgame, stalemate, knight, endgame castling",CHESS
"queen, middlegame pawn rook pawn, stalemate king, king",CHESS
"knight Elo rating opening king, opening, checkmate, FIDE",CHESS
"checkmate, rook opening knight, rook",CHESS
"rook endgame, queen, Elo rating castling",CHESS
"swimming, eating river sky computer book, mountain sky mountain, sleeping",OTHER
"sleeping phone eating book, swimming phone",OTHER
"stalemate, pawn stalemate, queen, rook, Elo rating",CHESS
castling bishop middlegame Elo rating pawn,CHESS
"middlegame Elo rating endgame, opening stalemate endgame FIDE, endgame, queen rook",CHESS
"river phone, phone music, phone, book sleeping, apple sleeping",OTHER
"stalemate, rook queen, pawn, endgame, castling, middlegame rook, rook",CHESS
"jumping, eating, eating sky book swimming",OTHER
"knight, bishop, middlegame Elo rating, knight stalemate, rook, Elo rating, middlegame",CHESS
"knight knight, FIDE, checkmate opening king",CHESS
"bishop FIDE, queen checkmate knight",CHESS
"mountain book, mountain river jumping, music running",OTHER
"queen, middlegame endgame, checkmate king knight stalemate, knight, queen, middlegame",CHESS
"swimming, river dancing, sleeping, sky, phone, phone",OTHER
"jumping book computer running sleeping, book, river computer river",OTHER
"castling, knight opening, king queen, checkmate, castling",CHESS
"pawn FIDE castling opening, castling, queen checkmate, Elo rating, Elo rating checkmate",CHESS
"phone river eating dancing, eating, running river, book",OTHER
"Elo rating opening endgame, endgame, rook knight",CHESS
"phone, swimming, computer jumping, running",OTHER
"stalemate knight pawn Elo rating, opening, castling, Elo rating, checkmate, stalemate",CHESS
"endgame knight Elo rating, castling, FIDE FIDE bishop",CHESS
"stalemate stalemate castling checkmate rook Elo rating, middlegame castling",CHESS
"phone, mountain, swimming swimming, phone, book",OTHER
"dancing, dancing, eating, mountain jumping mountain",OTHER
"mountain sky, eating running river, computer book dancing",OTHER
